RXCUI1,RXAUI1,STYPE1,REL,RXCUI2,RXAUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF
12984984,AUI,RO,,4236500,AUI,inactive_ingredient_of,164818975,,MTHSPL,,,,,4096,
12984984,AUI,RO,,4236931,AUI,inactive_ingredient_of,164819630,,MTHSPL,,,,,4096,
12984984,AUI,RO,,12749898,AUI,active_ingredient_of,164818070,,MTHSPL,,,,,4096,
12984984,AUI,RO,,12749900,AUI,active_moiety_of,164821160,,MTHSPL,,,,,4096,
12984984,AUI,RO,,12820345,AUI,active_ingredient_of,164818071,,MTHSPL,,,,,4096,
12984984,AUI,RO,,12820348,AUI,active_moiety_of,164821161,,MTHSPL,,,,,4096,
12984984,AUI,RO,,12984979,AUI,active_ingredient_of,164818110,,MTHSPL,,,,,4096,
12984984,AUI,RO,,12984980,AUI,active_moiety_of,164821180,,MTHSPL,,,,,4096,
12984985,AUI,RO,,2978605,AUI,inactive_ingredient_of,164819220,,MTHSPL,,,,,4096,
12984985,AUI,RO,,2978624,AUI,inactive_ingredient_of,164819566,,MTHSPL,,,,,4096,
12984985,AUI,RO,,2981242,AUI,inactive_ingredient_of,164819637,,MTHSPL,,,,,4096,
12984985,AUI,RO,,2994597,AUI,inactive_ingredient_of,164819118,,MTHSPL,,,,,4096,
12984985,AUI,RO,,3621376,AUI,inactive_ingredient_of,164819517,,MTHSPL,,,,,4096,
12984985,AUI,RO,,4236496,AUI,inactive_ingredient_of,164818475,,MTHSPL,,,,,4096,
12984985,AUI,RO,,4236500,AUI,inactive_ingredient_of,164818495,,MTHSPL,,,,,4096,
12984985,AUI,RO,,4236931,AUI,inactive_ingredient_of,164818815,,MTHSPL,,,,,4096,
12984985,AUI,RO,,12749898,AUI,active_ingredient_of,164818134,,MTHSPL,,,,,4096,
12984985,AUI,RO,,12749900,AUI,active_moiety_of,164821073,,MTHSPL,,,,,4096,
12984985,AUI,RO,,12820345,AUI,active_ingredient_of,164818109,,MTHSPL,,,,,4096,
12984985,AUI,RO,,12820348,AUI,active_moiety_of,164821133,,MTHSPL,,,,,4096,
12984985,AUI,RO,,12984979,AUI,active_ingredient_of,164818133,,MTHSPL,,,,,4096,
12984985,AUI,RO,,12984980,AUI,active_moiety_of,164821066,,MTHSPL,,,,,4096,
12984986,AUI,RO,,12984981,AUI,has_active_ingredient,164818297,,MTHSPL,,,,,4096,
12984986,AUI,RO,,12984982,AUI,has_active_ingredient,164818287,,MTHSPL,,,,,4096,
12984987,AUI,RO,,12984981,AUI,has_active_moiety,164821315,,MTHSPL,,,,,4096,
12984987,AUI,RO,,12984982,AUI,has_active_moiety,164821386,,MTHSPL,,,,,4096,
12985048,AUI,RO,,12985049,AUI,has_active_ingredient,164818284,,MTHSPL,,,,,4096,
12985048,AUI,RO,,12985049,AUI,has_active_moiety,164821326,,MTHSPL,,,,,4096,
12985049,AUI,RO,,3280213,AUI,inactive_ingredient_of,164819385,,MTHSPL,,,,,4096,
12985049,AUI,RO,,3507144,AUI,inactive_ingredient_of,164819224,,MTHSPL,,,,,4096,
12985049,AUI,RO,,3517422,AUI,inactive_ingredient_of,164819386,,MTHSPL,,,,,4096,
12985049,AUI,RO,,3716430,AUI,inactive_ingredient_of,164819198,,MTHSPL,,,,,4096,
12985049,AUI,RO,,4231765,AUI,inactive_ingredient_of,164819264,,MTHSPL,,,,,4096,
12985049,AUI,RO,,4233224,AUI,inactive_ingredient_of,164818707,,MTHSPL,,,,,4096,
12985049,AUI,RO,,4233225,AUI,inactive_ingredient_of,164819076,,MTHSPL,,,,,4096,
12985049,AUI,RO,,4233410,AUI,inactive_ingredient_of,164818881,,MTHSPL,,,,,4096,
12985049,AUI,RO,,4234292,AUI,inactive_ingredient_of,164819161,,MTHSPL,,,,,4096,
12985049,AUI,RO,,4234311,AUI,inactive_ingredient_of,164819109,,MTHSPL,,,,,4096,
12985049,AUI,RO,,8210547,AUI,inactive_ingredient_of,164819661,,MTHSPL,,,,,4096,
12985049,AUI,RO,,8232035,AUI,inactive_ingredient_of,164818386,,MTHSPL,,,,,4096,
12985049,AUI,RO,,8245547,AUI,inactive_ingredient_of,164818407,,MTHSPL,,,,,4096,
12985049,AUI,RO,,10337591,AUI,inactive_ingredient_of,164818524,,MTHSPL,,,,,4096,
12985049,AUI,RO,,12883879,AUI,inactive_ingredient_of,164819223,,MTHSPL,,,,,4096,
12985049,AUI,RO,,12985048,AUI,active_ingredient_of,164818083,,MTHSPL,,,,,4096,
12985049,AUI,RO,,12985048,AUI,active_moiety_of,164821132,,MTHSPL,,,,,4096,
12985080,AUI,SY,,12985079,AUI,,,,RXNORM,,,,,4096,
12985081,AUI,SY,,12985079,AUI,,,,RXNORM,,,,,4096,
12985082,AUI,SY,,12985073,AUI,,,,RXNORM,,,,,4096,
12985772,AUI,SY,,12985771,AUI,,,,RXNORM,,,,,4096,
12985773,AUI,SY,,12985765,AUI,,,,RXNORM,,,,,4096,
12985774,AUI,SY,,12985765,AUI,,,,RXNORM,,,,,4096,
12985775,AUI,SY,,12985771,AUI,,,,RXNORM,,,,,4096,
